"EMPLOYEE_ID","START_DATE","END_DATE","JOB_ID","DEPARTMENT_ID"
101,1989/09/21 0:00:00,1993/10/27 0:00:00,"AC_ACCOUNT",110
101,1993/10/28 0:00:00,1997/03/15 0:00:00,"AC_MGR",110
102,1993/01/13 0:00:00,1998/07/24 0:00:00,"IT_PROG",60
114,1998/03/24 0:00:00,1999/12/31 0:00:00,"ST_CLERK",50
122,1999/01/01 0:00:00,1999/12/31 0:00:00,"ST_CLERK",50
176,1998/03/24 0:00:00,1998/12/31 0:00:00,"SA_REP",80
176,1999/01/01 0:00:00,1999/12/31 0:00:00,"SA_MAN",80
200,1987/09/17 0:00:00,1993/06/17 0:00:00,"AD_ASST",90
200,1994/07/01 0:00:00,1998/12/31 0:00:00,"AC_ACCOUNT",90
201,1996/02/17 0:00:00,1999/12/19 0:00:00,"MK_REP",20
